reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
28_reg_array_body,,PA_14,pull_up,5:5,60,rw,'0,,
28_reg_array_body,,PA_14,pull_down,6:6,60,rw,'0,,
28_reg_array_body,,PA_14,hysteresis,7:7,60,rw,'0,,
28_reg_array_body,,PA_14,sel,10:8,60,rw,'0,,
28_reg_array_body,,PA_14,input_val,16:16,60,ro,'0,,
28_reg_array_body,,PA_15,output_en,0:0,64,rw,'0,,
28_reg_array_body,,PA_15,input_en,1:1,64,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_15,drive_strength,3:2,64,rw,'0,,
28_reg_array_body,,PA_15,slew_rate,4:4,64,rw,'0,,
28_reg_array_body,,PA_15,pull_up,5:5,64,rw,'0,,
28_reg_array_body,,PA_15,pull_down,6:6,64,rw,'0,,
28_reg_array_body,,PA_15,hysteresis,7:7,64,rw,'0,,
28_reg_array_body,,PA_15,sel,10:8,64,rw,'0,,
28_reg_array_body,,PA_15,input_val,16:16,64,ro,'0,,
28_reg_array_body,,PA_16,output_en,0:0,68,rw,'0,,
28_reg_array_body,,PA_16,input_en,1:1,68,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_16,drive_strength,3:2,68,rw,'0,,
28_reg_array_body,,PA_16,slew_rate,4:4,68,rw,'0,,
28_reg_array_body,,PA_16,pull_up,5:5,68,rw,'0,,
28_reg_array_body,,PA_16,pull_down,6:6,68,rw,'0,,
28_reg_array_body,,PA_16,hysteresis,7:7,68,rw,'0,,
28_reg_array_body,,PA_16,sel,10:8,68,rw,'0,,
28_reg_array_body,,PA_16,input_val,16:16,68,ro,'0,,
28_reg_array_body,,PA_17,output_en,0:0,72,rw,'0,,
28_reg_array_body,,PA_17,input_en,1:1,72,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_17,drive_strength,3:2,72,rw,'0,,
28_reg_array_body,,PA_17,slew_rate,4:4,72,rw,'0,,
